id,name,artists,cover_url,popularity,duration_ms,explicit,age_days,artist_popularity,artist_followers,genres,n_artist_genres,isrc_country
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,https://i.scdn.co/image/ab67616d00001e028863bc11d2aa12b54f5aeb36,91,200040,0,1878,97,104691184,,0,US
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,https://i.scdn.co/image/ab67616d00001e02ba5db46f4b838ef6027e6f96,91,233712,0,2991,90,120352963,soft pop,1,GB
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,https://i.scdn.co/image/ab67616d00001e02fc2101e6889d6ce9025f85f2,88,182160,0,2186,80,13456122,soft pop,1,DE
5aAx2yezTd8zXrkmtKl66Z,Starboy,"The Weeknd, Daft Punk",https://i.scdn.co/image/ab67616d00001e020c8599cbde51245c128bcea9,5,230453,1,3089,97,104691184,,0,US
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,https://i.scdn.co/image/ab67616d00001e022e8ed79e177ff6011076f5f0,90,167303,0,1087,85,33685741,,0,US
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",https://i.scdn.co/image/ab67616d00001e02e2e352d89826aef6dbd5ff8f,84,158040,0,2340,90,46962635,,0,US
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,https://i.scdn.co/image/ab67616d00001e028265a736a1eb838ad5a0b921,93,240400,0,4402,85,20321450,,0,US
1xznGGDReH1oQq0xzbwXa3,One Dance,"Drake, Wizkid, Kyla",https://i.scdn.co/image/ab67616d00001e02726abca207567d5e41cb9667,5,173986,0,3292,98,98452603,rap,1,US
5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",https://i.scdn.co/image/ab67616d00001e028e6551a2944764bc8e33a960,14,141805,1,1388,82,6262849,,0,US
0CcQNd8CINkwQfe1RDtGV6,Believer,Imagine Dragons,https://i.scdn.co/image/ab67616d00001e027956bd9a3d7a15e4c2e37cc6,7,204346,0,2879,88,57189082,,0,US
